?o	?gid	?name	?wkt
487	96590	Ludweiler-Warndt	"POINT(6.81 49.223)"
488	95903	Nünschweiler	"POINT(7.506 49.222)"
489	99562	Münchweiler an der Rodalb	"POINT(7.703 49.22)"
490	97924	Albersweiler	"POINT(8.03 49.219)"
491	97502	Ommersheim	"POINT(7.16 49.217)"
492	97749	Sankt Arnual	"POINT(7.015 49.217)"
493	100398	Rimschweiler	"POINT(7.37 49.215)"
494	98108	Mittelbach	"POINT(7.341 49.214)"
495	100805	Wilgartswiesen	"POINT(7.874 49.208)"
496	98140	Pirmasens	"POINT(7.604 49.203)"
497	97620	Gersbach	"POINT(7.557 49.203)"
498	97150	Güdingen	"POINT(7.031 49.197)"
499	100968	Hinterweidenthal	"POINT(7.757 49.195)"
500	93865	Hauenstein	"POINT(7.852 49.192)"
501	97737	Eschringen	"POINT(7.102 49.192)"
502	97039	Ottersheim bei Landau	"POINT(8.229 49.191)"
503	97469	Bellheim	"POINT(8.281 49.191)"
504	96027	Wernersberg	"POINT(7.923 49.19)"
505	95537	Hornbach	"POINT(7.371 49.185)"
506	98628	Lauterbach	"POINT(6.743 49.183)"
507	99549	Böckweiler	"POINT(7.292 49.183)"
508	100162	Ilbesheim bei Landau in der Pfalz	"POINT(8.054 49.183)"
509	96198	Bottenbach	"POINT(7.5 49.181)"
510	100455	Riedelberg	"POINT(7.445 49.178)"
511	94727	Rubenheim	"POINT(7.209 49.173)"
512	95118	Erfweiler	"POINT(7.812 49.158)"
513	94530	Kleinblittersdorf	"POINT(7.035 49.158)"
514	98031	Gossersweiler-Stein	"POINT(7.937 49.157)"
515	98451	Vinningen	"POINT(7.548 49.153)"
516	98088	Brenschelbach	"POINT(7.335 49.152)"
517	95583	Kuhardt	"POINT(8.314 49.146)"
518	98806	Herxheim bei Landau (Pfalz)	"POINT(8.212 49.145)"
519	99679	Klingenmünster	"POINT(8.019 49.141)"
520	95197	Habkirchen	"POINT(7.134 49.134)"
521	99684	Vorderweidenthal	"POINT(7.878 49.127)"
522	96538	Hilst	"POINT(7.527 49.126)"
523	97804	Leimersheim	"POINT(8.343 49.124)"
524	99739	Eppenbrunn	"POINT(7.56 49.115)"
525	93857	Bruchweiler-Bärenbach	"POINT(7.803 49.114)"
526	95303	Erlenbach bei Dahn	"POINT(7.862 49.113)"
527	100373	Hatzenbühl	"POINT(8.244 49.11)"
528	97950	Kapellen-Drusweiler	"POINT(8.031 49.102)"
529	100724	Winden	"POINT(8.111 49.098)"
530	95854	Rumbach	"POINT(7.788 49.095)"
531	98366	Jockgrim	"POINT(8.281 49.094)"
532	98771	Fischbach bei Dahn	"POINT(7.712 49.086)"
533	95671	Dierbach	"POINT(8.068 49.081)"
534	100356	Ludwigswinkel	"POINT(7.662 49.075)"
535	98696	Minfeld	"POINT(8.141 49.072)"
536	96765	Oberotterbach	"POINT(7.97 49.068)"
537	96442	Bobenthal	"POINT(7.858 49.063)"
538	101040	Schönau (Pfalz)	"POINT(7.75 49.059)"
539	94210	Schweigen-Rechtenbach / Schweigen-Rechtenbach / Rechtenbach / Rechtenbach	"POINT(7.958 49.054)"
540	97275	Steinfeld	"POINT(8.037 49.047)"
541	98619	Büchelberg	"POINT(8.173 49.021)"
542	93898	Hagenbach	"POINT(8.25 49.02)"
543	101029	Neuburg am Rhein	"POINT(8.25 48.984)"
544	98156	Berg (Pfalz)	"POINT(8.207 48.983)"
545	100181	Scheibenhardt	"POINT(8.143 48.981)"
