?o	?gid	?name	?wkt
65	96564	Wierschem	"POINT(7.352 50.226)"
66	94180	Nörtershausen	"POINT(7.481 50.225)"
67	94471	Rengen	"POINT(6.844 50.223)"
68	99141	Herscheid	"POINT(6.36 50.221)"
69	97062	Forst (Eifel)	"POINT(7.251 50.218)"
70	97121	Büdesheim	"POINT(6.558 50.217)"
71	100376	Winterspelt	"POINT(6.213 50.214)"
72	98662	Ulmen	"POINT(6.978 50.21)"
73	97103	Büscheich	"POINT(6.677 50.196)"
74	94338	Weiler	"POINT(7.629 50.194)"
75	98796	Weinsfeld	"POINT(6.368 50.193)"
76	97698	Greimersburg	"POINT(7.142 50.185)"
77	96341	Ney	"POINT(7.538 50.183)"
78	97948	Kail	"POINT(7.241 50.183)"
79	100746	Mehren	"POINT(6.881 50.177)"
80	96970	Oberstadtfeld	"POINT(6.766 50.176)"
81	94597	Birresborn	"POINT(6.625 50.175)"
82	96711	Demerath	"POINT(6.94 50.174)"
83	95557	Macken	"POINT(7.396 50.173)"
84	96037	Hersdorf / Hersdorf / Nieder-Hersdorf / Nieder-Hersdorf	"POINT(6.509 50.171)"
85	95128	Gondershausen / Gondershausen / Nieder-Gondershausen / Nieder-Gondershausen	"POINT(7.492 50.159)"
86	98605	Gevenich	"POINT(7.087 50.155)"
87	99175	Salm	"POINT(6.692 50.152)"
88	100255	Dörth	"POINT(7.591 50.15)"
89	96458	Biebernheim	"POINT(7.706 50.148)"
90	96334	Lützkampen	"POINT(6.187 50.148)"
91	95546	Seiwerath	"POINT(6.5 50.147)"
92	100183	Valwig	"POINT(7.21 50.143)"
93	99828	Utzenhain	"POINT(7.639 50.131)"
94	96086	Immerath	"POINT(6.959 50.129)"
95	97636	Dohr	"POINT(7.121 50.129)"
96	98597	Heyweiler	"POINT(7.463 50.126)"
97	95901	Bleckhausen	"POINT(6.777 50.125)"
98	96575	Densborn	"POINT(6.601 50.125)"
99	98164	Kinzenburg	"POINT(6.342 50.121)"
100	97661	Eschfeld	"POINT(6.2 50.114)"
101	97413	Pfalzfeld	"POINT(7.579 50.113)"
102	94527	Meisburg	"POINT(6.688 50.11)"
103	98171	Eckfeld	"POINT(6.846 50.11)"
104	98093	Strohn	"POINT(6.923 50.11)"
105	100542	Feuerscheid	"POINT(6.454 50.103)"
106	98462	Mörsdorf	"POINT(7.344 50.103)"
107	98398	Damscheid	"POINT(7.686 50.1)"
108	93882	Mesenich	"POINT(7.197 50.097)"
109	96323	Neidenbach	"POINT(6.552 50.092)"
110	94449	Bettenfeld	"POINT(6.76 50.084)"
111	96051	Sankt Aldegund	"POINT(7.13 50.081)"
112	96483	Ebschied	"POINT(7.516 50.08)"
113	100160	Buch	"POINT(7.387 50.077)"
114	94070	Henschhausen	"POINT(7.753 50.076)"
115	97704	Wiebelsheim	"POINT(7.636 50.075)"
116	99981	Dahnen	"POINT(6.143 50.072)"
117	96284	Neurath	"POINT(6.262 50.07)"
118	101153	Grenderich	"POINT(7.231 50.067)"
119	97123	Steinborn	"POINT(6.628 50.067)"
120	96003	Hontheim	"POINT(6.993 50.066)"
121	100032	Oberöfflingen	"POINT(6.867 50.065)"
122	94935	Oberpierscheid	"POINT(6.373 50.065)"
123	97319	Sefferweich	"POINT(6.521 50.059)"
124	93976	Oberweiler	"POINT(6.445 50.042)"
125	99765	Greimerath	"POINT(6.908 50.04)"
126	96373	Blankenrath	"POINT(7.303 50.038)"
127	100604	Oberkail	"POINT(6.679 50.037)"
128	97411	Völkenroth	"POINT(7.393 50.034)"
129	93949	Liebshausen	"POINT(7.629 50.033)"
130	95653	Klosterkumbd	"POINT(7.536 50.027)"
131	95927	Budenheim	"POINT(8.173 50.026)"
132	100552	Fließem	"POINT(6.543 50.025)"
133	98113	Grosslittgen	"POINT(6.797 50.025)"
134	100318	Briedel	"POINT(7.149 50.023)"
135	94963	Karlshausen	"POINT(6.228 50.023)"
136	520306	Oberheimbach	"POINT(7.782 50.022)"
137	100390	Bausendorf	"POINT(6.995 50.013)"
138	95646	Wüschheim	"POINT(7.421 50.012)"
139	100137	Weidingen	"POINT(6.377 50.011)"
140	100983	Neuerburg	"POINT(6.295 50.01)"
141	95150	Dichtelbach	"POINT(7.692 50.009)"
142	522623	Gonsenheim	"POINT(8.192 50.005)"
143	95700	Mainz / Mainz / Mainz / Mainz / Magonza / Magonza / Magonza / Magonza / Maguncia / Maguncia / Maguncia / Maguncia / Mayence / Mayence / Mayence / Mayence	"POINT(8.272 50.001)"
144	97478	Schnorbach	"POINT(7.611 49.991)"
145	100344	Wissmannsdorf	"POINT(6.444 49.988)"
146	97803	Pickließem	"POINT(6.648 49.988)"
147	96652	Ellern (Hunsrück)	"POINT(7.641 49.986)"
148	101105	Belg	"POINT(7.309 49.982)"
149	100637	Wackernheim	"POINT(8.116 49.979)"
150	96180	Ürzig	"POINT(7.005 49.979)"
151	94962	Niederkail	"POINT(6.737 49.978)"
152	96900	Wolf	"POINT(7.104 49.977)"
153	95346	Nannhausen	"POINT(7.48 49.974)"
154	97389	Obergeckler	"POINT(6.295 49.971)"
155	100636	Bergweiler	"POINT(6.828 49.968)"
156	99401	Daxweiler	"POINT(7.752 49.966)"
157	98099	Bauler	"POINT(6.207 49.965)"
158	95419	Oberweis	"POINT(6.42 49.963)"
159	94398	Mötsch	"POINT(6.553 49.962)"
160	95958	Seibersbach	"POINT(7.716 49.961)"
161	93982	Altrich	"POINT(6.911 49.957)"
162	100621	Ober Kostenz	"POINT(7.351 49.956)"
163	94429	Raversbeuren	"POINT(7.228 49.956)"
164	95747	Warmsroth	"POINT(7.79 49.955)"
165	94765	Starkenburg	"POINT(7.141 49.954)"
166	100818	Mettendorf	"POINT(6.327 49.95)"
167	95885	Herforst	"POINT(6.696 49.943)"
168	95978	Ockenheim	"POINT(7.973 49.942)"
169	93907	Grosswinternheim	"POINT(8.082 49.942)"
170	94226	Röhl	"POINT(6.582 49.938)"
171	97816	Ravengiersburg	"POINT(7.476 49.936)"
172	95744	Messerich	"POINT(6.482 49.935)"
173	95945	Tiefenbach	"POINT(7.542 49.934)"
174	100958	Rümmelsheim	"POINT(7.86 49.934)"
175	94440	Graach an der Mosel	"POINT(7.064 49.934)"
176	98262	Essenheim	"POINT(8.161 49.933)"
177	99928	Sohren	"POINT(7.308 49.932)"
178	94273	Noviand / Noviand / Maring-Noviand / Maring-Noviand	"POINT(6.987 49.931)"
179	98118	Bodenheim	"POINT(8.304 49.926)"
180	98169	Körperich	"POINT(6.257 49.924)"
181	99466	Ebersheim	"POINT(8.245 49.914)"
182	94251	Nackenheim	"POINT(8.346 49.913)"
